Districts Search Results,,,,,,,,,,,,,,,,
Mon May 09 2022 at 3:16:26 PM,,,,,,,,,,,,,,,,
"130 results exported. Export results are limited to 11,000 records.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCES District ID,State District ID,District Name,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type
5307680,WA-14104,Satsop School District,Grays Harbor County,853 MONTE ELMA RD,SATSOP,WASHINGTON,98583,0096,(360)482-5330,60,3.41,1,32,32-Town: Distant,17.6,1-Regular local school district that is NOT a component of a supervisory union
5300323,WA-17942,Seattle Central Community College,King County,1701 BROADWAY,SEATTLE,WASHINGTON,98122,    ,(206)587-4974,0,0,0,11,11-City: Large,-1,8-Other education agencies
5307710,WA-17001,Seattle School District No. 1,King County,2445 3RD AVE S,SEATTLE,WASHINGTON,98134,1165,(206)252-0010,55986,3238.68,110,11,11-City: Large,17.29,1-Regular local school district that is NOT a component of a supervisory union
5307830,WA-05323,Sequim School District,Clallam County,503 N SEQUIM AVE,SEQUIM,WASHINGTON,98382,3161,(360)582-3260,2750,160.94,5,32,32-Town: Distant,17.09,1-Regular local school district that is NOT a component of a supervisory union
5307900,WA-23309,Shelton School District,Mason County,700 S 1ST ST,SHELTON,WASHINGTON,98584,3602,(360)426-1687,4728,279.86,9,32,32-Town: Distant,16.89,1-Regular local school district that is NOT a component of a supervisory union
5307920,WA-17412,Shoreline School District,King County,18560 1ST AVE NE,SHORELINE,WASHINGTON,98155,2118,(206)393-4203,10223,507.46,19,21,21-Suburb: Large,20.15,1-Regular local school district that is NOT a component of a supervisory union
5307980,WA-17404,Skykomish School District,King County,105 6TH ST N,SKYKOMISH,WASHINGTON,98288,0325,(360)677-2623,58,9,2,42,42-Rural: Distant,6.44,1-Regular local school district that is NOT a component of a supervisory union
5308020,WA-31201,Snohomish School District,Snohomish County,1601 AVENUE D,SNOHOMISH,WASHINGTON,98290,1799,(360)563-7240,10079,489.63,18,22,22-Suburb: Mid-size,20.58,1-Regular local school district that is NOT a component of a supervisory union
5308040,WA-17410,Snoqualmie Valley School District,King County,8001 SILVA AVE SE,SNOQUALMIE,WASHINGTON,98065,0400,(425)831-8000,7354,384.38,14,31,31-Town: Fringe,19.13,1-Regular local school district that is NOT a component of a supervisory union
5308160,WA-18402,South Kitsap School District,Kitsap County,2689 HOOVER AVE SE,PORT ORCHARD,WASHINGTON,98366,3013,(360)874-7000,9981,562.57,18,22,22-Suburb: Mid-size,17.74,1-Regular local school district that is NOT a component of a supervisory union
